"V1","V2"
"Arrondissement de Bruxelles-Capitale","21000"
"Arrondissement d'Anvers","11000"
"Arrondissement de Malines","12000"
"Arrondissement de Turnhout","13000"
"Arrondissement de Hal-Vilvorde","23000"
"Arrondissement de Louvain","24000"
"Arrondissement de Bruges","31000"
"Arrondissement de Courtrai","34000"
"Arrondissement de Dixmude","32000"
"Arrondissement de Furnes","38000"
"Arrondissement d'Ostende","35000"
"Arrondissement de Roulers","36000"
"Arrondissement de Tielt","37000"
"Arrondissement d'Ypres","33000"
"Arrondissement d'Alost","41000"
"Arrondissement d'Audenarde","45000"
"Arrondissement d'Eeklo","43000"
"Arrondissement de Gand","44000"
"Arrondissement de Saint-Nicolas","46000"
"Arrondissement de Termonde","42000"
"Arrondissement de Hasselt","71000"
"Arrondissement de Maaseik","72000"
"Arrondissement de Tongres","73000"
"Arrondissement de Nivelles","25000"
"Arrondissement d'Ath","51000"
"Arrondissement de Charleroi","52000"
"Arrondissement de Mons","53000"
"Arrondissement de Mouscron","54000"
"Arrondissement de Soignies","55000"
"Arrondissement de Thuin","56000"
"Arrondissement de Tournai","57000"
"Arrondissement de Huy","61000"
"Arrondissement de Verviers","63000"
"Arrondissement de Waremme","64000"
"Arrondissement d'Arlon","81000"
"Arrondissement de Bastogne","82000"
"Arrondissement de Marche-en-Famenne","83000"
"Arrondissement de Virton","85000"
"Arrondissement de Dinant","91000"
"Arrondissement de Namur","92000"
"Arrondissement de Philippeville","93000"
"Arrondissement de Liège","62000"
"Arrondissement de Neufchâteau","84000"
