"id","municipality_number","municipality_name","canton_code"
75601120261,261,"Zürich","ZH"
75602460351,351,"Bern","BE"
75603111061,1061,"Luzern","LU"
75604001201,1201,"Altdorf (UR)","UR"
75605061372,1372,"Schwyz","SZ"
75606001407,1407,"Sarnen","OW"
75607001509,1509,"Stans","NW"
75608001632,1632,"Glarus","GL"
75609001711,1711,"Zug","ZG"
75610042196,2196,"Fribourg","FR"
75611092601,2601,"Solothurn","SO"
75612002701,2701,"Basel","BS"
75613032829,2829,"Liestal","BL"
75614032939,2939,"Schaffhausen","SH"
75615013001,3001,"Herisau","AR"
75616003101,3101,"Appenzell","AI"
75617213203,3203,"St. Gallen","SG"
75618293901,3901,"Chur","GR"
75619014001,4001,"Aarau","AG"
75620124566,4566,"Frauenfeld","TG"
75621015002,5002,"Bellinzona","TI"
75622255586,5586,"Lausanne","VD"
75623126266,6266,"Sion","VS"
75624046458,6458,"Neuchâtel","NE"
75625006621,6621,"Genève","GE"
75626016711,6711,"Delémont","JU"
