"gdenr_without_polling_station","gdename_without_polling_station","gdenr_polling_station","gdename_polling_station","gdekt"
"389","Meienried","383","Büren","BE"
"408","Hellsau","410","Höchstetten","BE"
"417","Niederösch","405","Ersigen","BE"
"419","Oberösch","405","Ersigen","BE"
"422","Rüti bei Lyssach","416","Mötschwil","BE"
"535","Deisswil bei Münchenbuchsee","553","Wiggiswil","BE"
"661","Clavaleyres","669","Münchenwiler","BE"
"868","Jaberg","872","Kirchdorf","BE"
"877","Niedermuhlern","888","Wald","BE"
"878","Noflen","872","Kirchdorf","BE"
