"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84027001","27001","Aitkin County","MN","27","001","H1"
"84027003","27003","Anoka County","MN","27","003","H1"
"84027005","27005","Becker County","MN","27","005","H1"
"84027007","27007","Beltrami County","MN","27","007","H1"
"84027009","27009","Benton County","MN","27","009","H1"
"84027011","27011","Big Stone County","MN","27","011","H1"
"84027013","27013","Blue Earth County","MN","27","013","H1"
"84027015","27015","Brown County","MN","27","015","H1"
"84027017","27017","Carlton County","MN","27","017","H1"
"84027019","27019","Carver County","MN","27","019","H1"
"84027021","27021","Cass County","MN","27","021","H1"
"84027023","27023","Chippewa County","MN","27","023","H1"
"84027025","27025","Chisago County","MN","27","025","H1"
"84027027","27027","Clay County","MN","27","027","H1"
"84027029","27029","Clearwater County","MN","27","029","H1"
"84027031","27031","Cook County","MN","27","031","H1"
"84027033","27033","Cottonwood County","MN","27","033","H1"
"84027035","27035","Crow Wing County","MN","27","035","H1"
"84027037","27037","Dakota County","MN","27","037","H1"
"84027039","27039","Dodge County","MN","27","039","H1"
"84027041","27041","Douglas County","MN","27","041","H1"
"84027043","27043","Faribault County","MN","27","043","H1"
"84027045","27045","Fillmore County","MN","27","045","H1"
"84027047","27047","Freeborn County","MN","27","047","H1"
"84027049","27049","Goodhue County","MN","27","049","H1"
"84027051","27051","Grant County","MN","27","051","H1"
"84027053","27053","Hennepin County","MN","27","053","H1"
"84027055","27055","Houston County","MN","27","055","H1"
"84027057","27057","Hubbard County","MN","27","057","H1"
"84027059","27059","Isanti County","MN","27","059","H1"
"84027061","27061","Itasca County","MN","27","061","H1"
"84027063","27063","Jackson County","MN","27","063","H1"
"84027065","27065","Kanabec County","MN","27","065","H1"
"84027067","27067","Kandiyohi County","MN","27","067","H1"
"84027069","27069","Kittson County","MN","27","069","H1"
"84027071","27071","Koochiching County","MN","27","071","H1"
"84027073","27073","Lac qui Parle County","MN","27","073","H1"
"84027075","27075","Lake County","MN","27","075","H1"
"84027077","27077","Lake of the Woods County","MN","27","077","H1"
"84027079","27079","Le Sueur County","MN","27","079","H1"
"84027081","27081","Lincoln County","MN","27","081","H1"
"84027083","27083","Lyon County","MN","27","083","H1"
"84027085","27085","McLeod County","MN","27","085","H1"
"84027087","27087","Mahnomen County","MN","27","087","H1"
"84027089","27089","Marshall County","MN","27","089","H1"
"84027091","27091","Martin County","MN","27","091","H1"
"84027093","27093","Meeker County","MN","27","093","H1"
"84027095","27095","Mille Lacs County","MN","27","095","H1"
"84027097","27097","Morrison County","MN","27","097","H1"
"84027099","27099","Mower County","MN","27","099","H1"
"84027101","27101","Murray County","MN","27","101","H1"
"84027103","27103","Nicollet County","MN","27","103","H1"
"84027105","27105","Nobles County","MN","27","105","H1"
"84027107","27107","Norman County","MN","27","107","H1"
"84027109","27109","Olmsted County","MN","27","109","H1"
"84027111","27111","Otter Tail County","MN","27","111","H1"
"84027113","27113","Pennington County","MN","27","113","H1"
"84027115","27115","Pine County","MN","27","115","H1"
"84027117","27117","Pipestone County","MN","27","117","H1"
"84027119","27119","Polk County","MN","27","119","H1"
"84027121","27121","Pope County","MN","27","121","H1"
"84027123","27123","Ramsey County","MN","27","123","H1"
"84027125","27125","Red Lake County","MN","27","125","H1"
"84027127","27127","Redwood County","MN","27","127","H1"
"84027129","27129","Renville County","MN","27","129","H1"
"84027131","27131","Rice County","MN","27","131","H1"
"84027133","27133","Rock County","MN","27","133","H1"
"84027135","27135","Roseau County","MN","27","135","H1"
"84027137","27137","St. Louis County","MN","27","137","H1"
"84027139","27139","Scott County","MN","27","139","H1"
"84027141","27141","Sherburne County","MN","27","141","H1"
"84027143","27143","Sibley County","MN","27","143","H1"
"84027145","27145","Stearns County","MN","27","145","H1"
"84027147","27147","Steele County","MN","27","147","H1"
"84027149","27149","Stevens County","MN","27","149","H1"
"84027151","27151","Swift County","MN","27","151","H1"
"84027153","27153","Todd County","MN","27","153","H1"
"84027155","27155","Traverse County","MN","27","155","H1"
"84027157","27157","Wabasha County","MN","27","157","H1"
"84027159","27159","Wadena County","MN","27","159","H1"
"84027161","27161","Waseca County","MN","27","161","H1"
"84027163","27163","Washington County","MN","27","163","H1"
"84027165","27165","Watonwan County","MN","27","165","H1"
"84027167","27167","Wilkin County","MN","27","167","H1"
"84027169","27169","Winona County","MN","27","169","H1"
"84027171","27171","Wright County","MN","27","171","H1"
"84027173","27173","Yellow Medicine County","MN","27","173","H1"
