"id","state_fips","state_code","county_number"
"84001","01","AL",67
"84002","02","AK",29
"84004","04","AZ",15
"84005","05","AR",75
"84006","06","CA",58
"84008","08","CO",64
"84009","09","CT",8
"84010","10","DE",3
"84011","11","DC",1
"84012","12","FL",67
"84013","13","GA",159
"84015","15","HI",5
"84016","16","ID",44
"84017","17","IL",102
"84018","18","IN",92
"84019","19","IA",99
"84020","20","KS",105
"84021","21","KY",120
"84022","22","LA",64
"84023","23","ME",16
"84024","24","MD",24
"84025","25","MA",14
"84026","26","MI",83
"84027","27","MN",87
"84028","28","MS",82
"84029","29","MO",115
"84030","30","MT",56
"84031","31","NE",93
"84032","32","NV",17
"84033","33","NH",10
"84034","34","NJ",21
"84035","35","NM",33
"84036","36","NY",62
"84037","37","NC",100
"84038","38","ND",53
"84039","39","OH",88
"84040","40","OK",77
"84041","41","OR",36
"84042","42","PA",67
"84044","44","RI",5
"84045","45","SC",46
"84046","46","SD",66
"84047","47","TN",95
"84048","48","TX",254
"84049","49","UT",29
"84050","50","VT",14
"84051","51","VA",134
"84053","53","WA",39
"84054","54","WV",55
"84055","55","WI",72
"84056","56","WY",23
